rule_name,mode,holding_days,eligible_signal_dates,trades,win_rate,avg_return,median_return,avg_net_pnl,total_net_pnl,max_trade_loss,max_trade_profit,profit_factor,top_5_wins_to_total_pnl,top_10pct_capture_ratio,flat_ratio
cheap_iv_vs_rv,daily_rolling,all,89,356,0.22752808988764045,-0.058651880671298326,-0.07167509709633325,-1688.952247191008,-601266.9999999988,-18783.4,35875.5,0.4126506539003736,-0.2021993556938935,0.09219858156028368,0.8106382978723404
cheap_iv_vs_rv,daily_rolling,1,89,89,0.2247191011235955,-0.040405740087267585,-0.0461961379542962,-1190.6696629213445,-105969.59999999967,-6586.099999999999,13659.1,0.23205816001977,-0.21485973335749195,0.02127659574468085,0.8106382978723404
cheap_iv_vs_rv,daily_rolling,2,89,89,0.21348314606741572,-0.04413016541049951,-0.0661409177117924,-1292.629213483143,-115043.99999999974,-8481.399999999996,18136.60000000001,0.43004608915921416,-0.49067574145544435,,0.8106382978723404
cheap_iv_vs_rv,daily_rolling,3,89,89,0.2247191011235955,-0.05744041056114748,-0.089818065252574,-1526.5101123595475,-135859.39999999973,-11406.699999999995,35875.5,0.49046980047000366,-0.679147707114857,0.14893617021276595,0.8106382978723404
cheap_iv_vs_rv,daily_rolling,5,89,89,0.24719101123595505,-0.09263120662627873,-0.1500942774710919,-2745.999999999997,-244393.9999999997,-18783.4,24818.7,0.4142315975164156,-0.38382366179202493,0.10638297872340426,0.8106382978723404
cheap_iv_vs_rv,non_overlapping,all,89,199,0.23618090452261306,-0.04849385446535645,-0.0560419503969907,-1407.052763819092,-280003.4999999993,-14512.7,35875.5,0.38451232553615516,-0.3080715062490298,0.028368794326241134,0.8106382978723404
cheap_iv_vs_rv,non_overlapping,1,89,89,0.2247191011235955,-0.040405740087267585,-0.0461961379542962,-1190.6696629213445,-105969.59999999967,-6586.099999999999,13659.1,0.23205816001977,-0.21485973335749195,0.02127659574468085,0.8106382978723404
cheap_iv_vs_rv,non_overlapping,2,89,50,0.24,-0.03739929656230322,-0.05805099696345445,-1093.9899999999973,-54699.49999999986,-8481.399999999996,15481.699999999995,0.49703181693629894,-0.7988592217479158,,0.8106382978723404
cheap_iv_vs_rv,non_overlapping,3,89,36,0.2777777777777778,-0.04499900225331404,-0.0764622380701829,-1041.713888888885,-37501.699999999866,-11406.699999999995,35875.5,0.6300093233423946,-1.5818882877309621,0.06382978723404255,0.8106382978723404
cheap_iv_vs_rv,non_overlapping,5,89,24,0.20833333333333334,-0.10684321923352724,-0.1013837400400759,-3409.69583333333,-81832.69999999992,-14512.7,9761.900000000003,0.23396198861886525,-0.3054182496728086,0.0,0.8106382978723404
cheap_iv_vs_rv,one_position_at_a_time,all,89,89,0.2247191011235955,-0.040405740087267585,-0.0461961379542962,-1190.6696629213445,-105969.59999999967,-6586.099999999999,13659.1,0.23205816001977,-0.21485973335749195,0.02127659574468085,0.8106382978723404
cheap_iv_vs_rv,one_position_at_a_time,1,89,89,0.2247191011235955,-0.040405740087267585,-0.0461961379542962,-1190.6696629213445,-105969.59999999967,-6586.099999999999,13659.1,0.23205816001977,-0.21485973335749195,0.02127659574468085,0.8106382978723404
cheap_iv_vs_rv,one_position_at_a_time,2,89,50,0.24,-0.03739929656230322,-0.05805099696345445,-1093.9899999999973,-54699.49999999986,-8481.399999999996,15481.699999999995,0.49703181693629894,-0.7988592217479158,,0.8106382978723404
cheap_iv_vs_rv,one_position_at_a_time,3,89,36,0.2777777777777778,-0.04499900225331404,-0.0764622380701829,-1041.713888888885,-37501.699999999866,-11406.699999999995,35875.5,0.6300093233423946,-1.5818882877309621,0.06382978723404255,0.8106382978723404
cheap_iv_vs_rv,one_position_at_a_time,5,89,24,0.20833333333333334,-0.10684321923352724,-0.1013837400400759,-3409.69583333333,-81832.69999999992,-14512.7,9761.900000000003,0.23396198861886525,-0.3054182496728086,0.0,0.8106382978723404
compressed_range,daily_rolling,all,23,92,0.1956521739130435,-0.06865428337627985,-0.08345552909915324,-1857.6880434782581,-170907.29999999976,-10233.79999999999,37202.69999999999,0.3173227251919928,-0.3634139676889173,0.014184397163120567,0.951063829787234
compressed_range,daily_rolling,1,23,23,0.17391304347826086,-0.06235574599557059,-0.0577457539886773,-1645.926086956518,-37856.299999999916,-5493.6,1661.100000000005,0.09168060311008688,-0.08470188581557163,0.0,0.951063829787234
compressed_range,daily_rolling,2,23,23,0.13043478260869565,-0.09980628375216687,-0.0925283894429199,-2684.1869565217353,-61736.299999999916,-10233.79999999999,1923.1000000000024,0.04089714271510442,-0.017263749204277135,,0.951063829787234
compressed_range,daily_rolling,3,23,23,0.21739130434782608,-0.0905031085161598,-0.1041838997782173,-2361.460869565215,-54313.59999999995,-9935.3,4045.900000000006,0.17378182349218754,-0.21033405997761215,0.0,0.951063829787234
compressed_range,daily_rolling,5,23,23,0.2608695652173913,-0.021951995241222134,-0.1074878441272276,-739.1782608695629,-17001.099999999948,-8724.6,37202.69999999999,0.7836043831278349,-3.547282234678944,0.0425531914893617,0.951063829787234
compressed_range,non_overlapping,all,23,74,0.17567567567567569,-0.0692240434764662,-0.08223283353662719,-1869.6216216216185,-138351.99999999977,-10233.79999999999,37202.69999999999,0.2904570805820891,-0.3582094946224131,0.0070921985815602835,0.951063829787234
compressed_range,non_overlapping,1,23,23,0.17391304347826086,-0.06235574599557059,-0.0577457539886773,-1645.926086956518,-37856.299999999916,-5493.6,1661.100000000005,0.09168060311008688,-0.08470188581557163,0.0,0.951063829787234
compressed_range,non_overlapping,2,23,19,0.15789473684210525,-0.10396001385927855,-0.1039884191084708,-2849.505263157891,-54140.59999999993,-10233.79999999999,1923.1000000000024,0.04636879085341496,-0.017360354336671845,,0.951063829787234
compressed_range,non_overlapping,3,23,18,0.16666666666666666,-0.10954624975475265,-0.10928590601797131,-2861.8555555555527,-51513.39999999995,-9935.3,3366.6000000000054,0.10296189363373129,-0.08132058842941876,0.0,0.951063829787234
compressed_range,non_overlapping,5,23,14,0.21428571428571427,0.018476835682247544,-0.08393204007852716,368.45000000000215,5158.30000000003,-8724.6,37202.69999999999,1.1318887269566116,8.381424112595187,0.02127659574468085,0.951063829787234
compressed_range,one_position_at_a_time,all,23,23,0.17391304347826086,-0.06235574599557059,-0.0577457539886773,-1645.926086956518,-37856.299999999916,-5493.6,1661.100000000005,0.09168060311008688,-0.08470188581557163,0.0,0.951063829787234
compressed_range,one_position_at_a_time,1,23,23,0.17391304347826086,-0.06235574599557059,-0.0577457539886773,-1645.926086956518,-37856.299999999916,-5493.6,1661.100000000005,0.09168060311008688,-0.08470188581557163,0.0,0.951063829787234
compressed_range,one_position_at_a_time,2,23,19,0.15789473684210525,-0.10396001385927855,-0.1039884191084708,-2849.505263157891,-54140.59999999993,-10233.79999999999,1923.1000000000024,0.04636879085341496,-0.017360354336671845,,0.951063829787234
compressed_range,one_position_at_a_time,3,23,18,0.16666666666666666,-0.10954624975475265,-0.10928590601797131,-2861.8555555555527,-51513.39999999995,-9935.3,3366.6000000000054,0.10296189363373129,-0.08132058842941876,0.0,0.951063829787234
compressed_range,one_position_at_a_time,5,23,14,0.21428571428571427,0.018476835682247544,-0.08393204007852716,368.45000000000215,5158.30000000003,-8724.6,37202.69999999999,1.1318887269566116,8.381424112595187,0.02127659574468085,0.951063829787234
mid_dte_reasonable_premium,daily_rolling,all,0,0,,,,,0.0,,,,,,1.0
mid_dte_reasonable_premium,non_overlapping,all,0,0,,,,,0.0,,,,,,1.0
mid_dte_reasonable_premium,one_position_at_a_time,all,0,0,,,,,0.0,,,,,,1.0
iv_discount_and_trigger,daily_rolling,all,162,648,0.27314814814814814,-0.014439595530099708,-0.0661438232526104,-1245.301697530861,-806955.4999999979,-90149.69999999998,139300.69999999998,0.6185385457802395,-0.6105886879759804,0.1773049645390071,0.6553191489361703
iv_discount_and_trigger,daily_rolling,1,162,162,0.2777777777777778,-0.024064710937753822,-0.04270547522969985,-1240.848765432095,-201017.4999999994,-87463.19999999998,20944.5,0.40949126372850103,-0.3502212493937107,0.2553191489361702,0.6553191489361703
iv_discount_and_trigger,daily_rolling,2,162,162,0.24074074074074073,-0.016280835008385886,-0.06599554484377354,-1199.2061728395029,-194271.39999999947,-84040.39999999998,70853.7,0.5753179463435905,-0.8914024400915445,,0.6553191489361703
iv_discount_and_trigger,daily_rolling,3,162,162,0.2839506172839506,0.003365189711520991,-0.08984665327693445,-931.6617283950586,-150929.1999999995,-90149.69999999998,102295.7,0.7383295722958332,-1.9926521839379059,0.1702127659574468,0.6553191489361703
iv_discount_and_trigger,daily_rolling,5,162,162,0.29012345679012347,-0.02077802588578014,-0.12702512354696882,-1609.4901234567867,-260737.39999999944,-74627.69999999998,139300.69999999998,0.6480205989784211,-1.1491097939919652,0.10638297872340426,0.6553191489361703
iv_discount_and_trigger,non_overlapping,all,162,379,0.26649076517150394,-0.02187622147409063,-0.060453267828327,-1695.8279683377273,-642718.7999999986,-90149.69999999998,139300.69999999998,0.5027799643283883,-0.5112890738531387,0.1276595744680851,0.6553191489361703
iv_discount_and_trigger,non_overlapping,1,162,162,0.2777777777777778,-0.024064710937753822,-0.04270547522969985,-1240.848765432095,-201017.4999999994,-87463.19999999998,20944.5,0.40949126372850103,-0.3502212493937107,0.2553191489361702,0.6553191489361703
iv_discount_and_trigger,non_overlapping,2,162,98,0.25510204081632654,-0.021823111084542973,-0.0661438232526104,-1505.428571428568,-147531.99999999965,-84040.39999999998,70853.7,0.5440635737291721,-0.91778054930456,,0.6553191489361703
iv_discount_and_trigger,non_overlapping,3,162,70,0.2714285714285714,-0.04377930771144273,-0.100477568081691,-2761.8457142857105,-193329.19999999975,-90149.69999999998,53332.70000000001,0.42520481232783697,-0.611673766818464,0.10638297872340426,0.6553191489361703
iv_discount_and_trigger,non_overlapping,5,162,49,0.24489795918367346,0.01654309508820346,-0.1559694911684958,-2057.9612244897917,-100840.0999999998,-74627.69999999998,139300.69999999998,0.6549947534210538,-1.7393368312804165,0.02127659574468085,0.6553191489361703
iv_discount_and_trigger,one_position_at_a_time,all,162,162,0.2777777777777778,-0.024064710937753822,-0.04270547522969985,-1240.848765432095,-201017.4999999994,-87463.19999999998,20944.5,0.40949126372850103,-0.3502212493937107,0.2553191489361702,0.6553191489361703
iv_discount_and_trigger,one_position_at_a_time,1,162,162,0.2777777777777778,-0.024064710937753822,-0.04270547522969985,-1240.848765432095,-201017.4999999994,-87463.19999999998,20944.5,0.40949126372850103,-0.3502212493937107,0.2553191489361702,0.6553191489361703
iv_discount_and_trigger,one_position_at_a_time,2,162,98,0.25510204081632654,-0.021823111084542973,-0.0661438232526104,-1505.428571428568,-147531.99999999965,-84040.39999999998,70853.7,0.5440635737291721,-0.91778054930456,,0.6553191489361703
iv_discount_and_trigger,one_position_at_a_time,3,162,70,0.2714285714285714,-0.04377930771144273,-0.100477568081691,-2761.8457142857105,-193329.19999999975,-90149.69999999998,53332.70000000001,0.42520481232783697,-0.611673766818464,0.10638297872340426,0.6553191489361703
iv_discount_and_trigger,one_position_at_a_time,5,162,49,0.24489795918367346,0.01654309508820346,-0.1559694911684958,-2057.9612244897917,-100840.0999999998,-74627.69999999998,139300.69999999998,0.6549947534210538,-1.7393368312804165,0.02127659574468085,0.6553191489361703
